Tweet,Positive,Negative,Neutral,Compound,Sentiment
dosen fakultas ilmu sosial ilmu politik fisip universitas wijaya kusuma surabaya umar sholahudin janji nilai a mahasiswa demo tolak uu cipta kerja omnibus law sensasi dosen news detik com berita-jawa-ti,0.0,0.0,1.0,0.0,Negativ
dpr ri salah jd omnibus law uu buat susah orang ya om istri jd pac pdip pdk kelapa wkt pilleg suksesin sondang tiur tampubolon msk dpr ri point yg uu cipta kerja tindas yg,0.0,0.0,1.0,0.0,Negativ
dpr yg kesah omnibus law uu cipta kerja udah mati,0.0,0.0,1.0,0.0,Negativ
draft uu omnibus law cipta kerja pusing krn draft sah isi draft ubah yg rugi mudah kuasa hati nurani utk rakyat nya bangsatbangsa,0.0,0.0,1.0,0.0,Negativ
dukacita bang tinggal ayahanda cinta moga almarhum indah surga sungguh berat juang mu bang juang berat pimpin aksi juta buruh hapus uu omnibuslaw cipta lapang kerja,0.0,0.0,1.0,0.0,Negativ
dukung dunia internasional juang buruh kerja indonesia tolak omnibuslaw cipta kerja indonesia kspi kspsi serikatpekerja serikatburuh buruh kerja globalunion mogoknasional tolakomnibuslaw tolakphkmassal,0.0,0.0,1.0,0.0,Negativ
dukung omnibus law cipta kerja,0.0,0.0,1.0,0.0,Negativ
dukung uu cipta kerja omnibuslaw,0.0,0.0,1.0,0.0,Negativ
edar hoax omnibus law uu cipta kerja skuy cekidot satu,0.0,0.189,0.811,-0.2732,Negativ
fatwa mui uu cipta kerja omnibus law tolakomnibuslaw fatwamui,0.0,0.0,1.0,0.0,Negativ
fgd pusat kaji analisis data oligarki uu omnibus law cipta kerja masif bahas uu omnibus law cipta kerja kontroversi tolak sudah gelitik uak ungkap duga oligarki balik mari ikut,0.0,0.0,1.0,0.0,Negativ
finance detik com berita-ekonomi perintah harap pihak rat uu omnibus law cipta kerja tempuh jalur hukum,0.0,0.0,1.0,0.0,Negativ
firman masyarakat tolak uu cipta kerja utuh omnibus law langkah perintah uu cipta kerja omnibuslawuntukrakyat omnibuslawuntukumkm omnibuslawsolusi,0.0,0.0,1.0,0.0,Negativ
full link on youtube nurkha entertainment losss ruu cipta kerja omnibuslaw ruuciptakerja,0.203,0.0,0.797,0.4215,Positif
ga heran klu nasib buruh seok th akar rumput buruh teriak tolak omnibus law cipta kerja panas teriak ehhh yg elit nya adem aja disuapin rezim dukung terbit uu cipta kerja ga heran klu uu cipta kerja lolos sah,0.0,0.0,1.0,0.0,Negativ
gak butuh uu cipta kerja omnibus law sih ngelindungin ya poin positif uu ya lantas pro poin ya ra mashook,0.0,0.0,1.0,0.0,Negativ
gak ken bahas omnibuslaw cipta kerja seniooor,0.0,0.0,1.0,0.0,Negativ
gaskeun bro omnibus law ruu cipta kerja siksa buruh youtu be yrgvxcota,0.0,0.0,1.0,0.0,Negativ
gawat uu ppp sdg revisi sebentar lg selesai dmn revisi utk mengakomodir omnibus law jalan lancar bs baik uu cipta kerja luncur hambat respon youtu be pw-klda vjk,0.0,0.0,1.0,0.0,Negativ
gelombang demonstrasi tolak uu cipta kerja uu omnibus law serba-serbi mmc gelombang tolak kesah omnibus law cipta kerja panas agam unggah kait ramai media sosial,0.0,0.0,1.0,0.0,Negativ
gelora lawan undang sapu jagat omnibus law cipta kerja omnibuslawuupenjajahan cabutomnibuslaw jegalsampaigagal reformasidikorupsi mositidakpercaya,0.0,0.0,1.0,0.0,Negativ
gema adil jawa selenggara diskusi uu omnibus law cipta kerja rakyat merana join zoom meeting meeting id passcode undang pemuda-pemudi akademisi laku umkm gera aktivis ubah mahasiswa buruh tani,0.073,0.0,0.927,0.296,Positif
giat aman jajar personil polres pandeglang aman aksi unjuk aliansi cipayung plus pandeglang grand issue tolak omnibus law uu cipta kerja tempat kantor dprd kab pandeglang tugu jam,0.1,0.0,0.9,0.4588,Positif
gorontalo-dewan wakil daerah dpd ri hasil keluar undang lebur undang cipta kerja omnibus law hasil ketua dpd ri aa lanyalla mahmud mattalitti fgd iain sultan ama,0.0,0.0,1.0,0.0,Negativ
gua bikin infografis milestone ruu omnibus law cipta kerja persetan isi proses buat aja janggal banget anjing,0.0,0.0,1.0,0.0,Negativ
h t ibrahim st mm ketua dpra fraksi partai demokrat aceh dkk sambut ratus demo tolak omnibus law cipta kerja sah dpr perintah mahasiswabergerak tolakuuciptakerja tolakomnibuslaw demokrattolakomnibuslaw,0.0,0.0,1.0,0.0,Negativ
habis debat ayah omnibus law cipta tenaga kerja beliau orang alam ngebuat gua luas pikir nih bahan tirto id daftar-pasal-b,0.0,0.0,1.0,0.0,Negativ
hadir omnibus law undang undang cipta kerja perintah sederhana mudah regulasi uuciptakerja dukunguuciptaker ciptakersejahterakanrakyat ciptakermembangunindonesia,0.0,0.0,1.0,0.0,Negativ
hadir omnibus law uu cipta kerja perintah sederhana mudah regulasi uuciptakerja dukunguuciptaker ciptakersejahterakanrakyat ciptakermembangunindonesia,0.0,0.0,1.0,0.0,Negativ
hai kabar mahasiswa yg demo tolak uu cipta kerja omnibuslaw sehat papar covid alhamdulillah kalo sehat dgn kait covid covid corona uuciptakerja,0.0,0.0,1.0,0.0,Negativ
hak dasar buruh kerja penuh kuasa usaha amanat uu ketenagakerjaan blm maksimal jalan buruh kerja hadap omnibuslaw uu cipta kerja tolakomnibuslaw tolakupahmurah,0.121,0.0,0.879,0.4404,Positif
halo sobatrbpn fakta omnibus law uu cipta kerja sobat tahu ya yuk simak video lengkap nya link instagram com tv cgrgabahe- atrbpnkinilebihbaik atrbpnmajudanmodern melayaniprofesionalterpercaya uuciptakerja,0.0,0.0,1.0,0.0,Negativ
halo uu cipta kerja halo omnibus law,0.0,0.0,1.0,0.0,Negativ
hasil putus dpr presiden urus dintervensi ma konstitusi acakadut uu omnibus law cipta kerja putus mk perpu pn batal milu hukum alat kuasa adil,0.0,0.0,1.0,0.0,Negativ
hati hoax ruu cipta kerja omnibuslaw infocianjur com hati-hati--h infocianjur,0.0,0.189,0.811,-0.2732,Negativ
hayo dikit oligarki nih teliti uu cipta kerja omnibus law bentuk lawan oligarki rakyat mudah izin usaha nama lawan oligarki umkmmajukoperasikuat barisanprokerja,0.0,0.0,1.0,0.0,Negativ
henti tangkap bukti paksa damping acara bebas kawan ijul massa aksi omnibuslaw cipta kerja makassar bebaskanijul mositidakpercata tandatangani petisi chng it zyfmkdk via,0.0,0.0,1.0,0.0,Negativ
hianati sakit unjung kecewa nya omnibus law ruu cipta kerja sah dpr ri puncak khianat negara hak buruh tani masyarakat adat perempuan lingkung hidup generasi,0.108,0.0,0.892,0.4404,Positif
hidup mh jgn suka ambil pusing ari kmu mndingan oge ambil dreum aspal trus tinggangin kana sirah kanu ngaresahkeun ruu omnibus law cipta kerja curiga dewekmah jigana maranehna mah teuboga teuboga hati nurani teu ngaraskeun maha ripuhna buruh teh fungsi dpr,0.0,0.0,1.0,0.0,Negativ
hoax point undang cipta kerja omnibus law bijak media sosial,0.0,0.189,0.811,-0.2732,Negativ
hoax point undang cipta kerja omnibus law cek benar share informasi,0.165,0.158,0.677,0.0258,Negativ
hoax point undang cipta kerja omnibus law saring sharing,0.235,0.176,0.588,0.1779,Positif
hoaxomnibuslaw hati hoax omnibus law cipta kerja kompas tv article,0.0,0.189,0.811,-0.2732,Negativ
hotel fitra-majalengka-jawa barat siap halal bihalal konsolidasi gera buruh masif lawan tolak cabut omnibus law uu cipta kerja nomor thn,0.0,0.0,1.0,0.0,Negativ
hotman paris jamin omnibus law untung buruh puluh dunia hukum baca draf uu cipta kerja hotman paris untung buruh alasanny share babe news s nwyjzspqvr,0.087,0.0,0.913,0.296,Positif
indonesia heboh ubah omnibus law ruu cipta kerja kuasa jalan misi indonesia lawan covid dpr ri percaya rakyat luka hati rakyat mana ikrar janji kuasa,0.0,0.0,1.0,0.0,Negativ
indonesia kesah undang omnibus law cipta kerja dgn sederhana regulasi undang undang tuju cipta iklim usaha investasi yg kualitas laku usaha umkm,0.0,0.0,1.0,0.0,Negativ
indonesia kesah undang omnibus law cipta kerja sederhana regulasi besar undang undang,0.0,0.0,1.0,0.0,Negativ
indramayu tolak ruu omnibuslaw cipta kerja mositodakpercaya dewanpengkhianatrakyat jokowibiangomnibuslaw jokowikabur,0.0,0.0,1.0,0.0,Negativ
ingat otonomi daerah april suasana kebiri sistematis wenang daerah regulasi salah satu uu omnibus law cipta kerja susul uu hallooo tetangga belah,0.0,0.0,1.0,0.0,Negativ
investasi identik lapang kerja omnibuslaw uu cipta kerja,0.0,0.0,1.0,0.0,Negativ
jadwal aliansi organisasi buruh demonstrasi gedung mpr dpr ri tuntut cabut uu omnibus law cipta kerja mediacibubur cibubur,0.0,0.0,1.0,0.0,Negativ
jam wita aksi serta unras jilid ii kait omnibus law cipta kerja jl lambung mangkurat banjarmasin kantor dprd prov kalimantan selatan bubar banjarmasin instagram com p cgxykqd-s,0.0,0.0,1.0,0.0,Negativ
jarene rakyat rakyat rakyat laahh iki piyee to yo ngono ru cipta kerja seng sorot ki buruh dprrikhianatirakyat omnibuslaw dprgoblok jokowimundurlah,0.0,0.0,1.0,0.0,Negativ
jauh buruh ancam omnibus law sah aksi protes antero negeri uu cipta kerja laku bijak suram batalkanuuciptakerja,0.0,0.0,1.0,0.0,Negativ
jihadpmiimenyala ketua urus gera mahasiswa islam indonesia pb pmii agus mulyono herlambang kader pmii indonesia gelar aksi tolak undang omnibus law cipta kerja jihadpmiimenyala,0.0,0.0,1.0,0.0,Negativ
jokowi mk dukung omnibus law dpr kesah ruu mk yg untung hakim mk omnibus law cipta kerja inisiasi perintah dukung dpr percaya dgn statement silah jr mk,0.0,0.0,1.0,0.0,Negativ
jubir satgas tangan covid prof wiku adisasmito perintah rencana uu karantina dlm respons aksi unjuk tolak omnibus law cipta kerja aksi dorong kerumun potensi timbul klaster,0.0,0.0,1.0,0.0,Negativ
jurnalis alami keras liput demo tolak omnibus law cipta kerja sultranesia id -jurnal tahunjokowiamin tolakomnibuslaw tolakuuciptakerja,0.0,0.0,1.0,0.0,Negativ
kait dunia kau anggap milik omnibus law cipta kerja mana kompeten atur salah duga rekonstruksi puas janganbodohirakyat janganpulabodoh,0.0,0.0,1.0,0.0,Negativ
kait omnibuslaw mahasiswa baca rinci lurus ruu cipta kerja dukung kritik yg lemah tolak,0.0,0.0,1.0,0.0,Negativ
kait ramai bincang masyarakat kait uu cipta kerja beda uu ketenagakerjaan ruu omnibus law cipta kerja omnibuslaw uuciptakerja idxchannel com market-news fo,0.0,0.0,1.0,0.0,Negativ
kalingan yg penghianat fraksi yg dpr orang benny fraksi penghianatnya dukung omnibuslaw cipta kerja mahasiswa buruh masyarakat sadar yg penghianat percayajokowi,0.0,0.0,1.0,0.0,Negativ
kanit bimas polsek turi iptu hartono tempat pt padma citra amahilungguh rejodonokerto turi slemanmelaksanakan giat patroli sambang temu securty informasi karyawan ikut giat tolak kesah ruu cipta kerja omnibus law,0.0,0.0,1.0,0.0,Negativ
kawanlaut uu cipta kerja sah dpr oktober omnibus law dampak undang salah satu uu nomor layar lengkap instagram com p cmyzdnir,0.0,0.0,1.0,0.0,Negativ
kejam gimana cinta omnibuslaw cipta kerja,0.0,0.0,1.0,0.0,Negativ
kelompok dukung omnibus law istana dpr ri kelompok bisnis uu cipta kerja rakyat mosi percaya tani gugat batalkanomnibuslaw petanitolakomnibuslaw tolakomnibuslaw mositidakpercaya,0.0,0.0,1.0,0.0,Negativ
kembang riset inovasi indonesia rendah hadir uu cipta kerja atur ubah tentu uu paten harap dorong inovasi investasi tanah air uuciptakerja omnibuslaw hakpaten uupaten baharlawfirm,0.0,0.0,1.0,0.0,Negativ
kenang juang kritisi uu omnibus law cipta kerja kait jamin produk halal indonesia marissa haque ikang fawzi,0.0,0.0,1.0,0.0,Negativ
kepala daerah yg tolak omnibus law cipta kerja pahlawan jesianganbukanya dukung program perintah maklum,0.0,0.0,1.0,0.0,Negativ
kesah ruu cipta kerja uu tuai polemik jejak kelam uu cipta kerja kritisi tolak omnibus law cipta kerja instagram com p cnazrchen,0.0,0.0,1.0,0.0,Negativ
kesah ruu omnibus law cipta kerja dzalim,0.0,0.0,1.0,0.0,Negativ
kesah ruu omnibus law cipta kerja legitimasi negara berangus rakyat jihadpmiimenyala,0.0,0.0,1.0,0.0,Negativ
kesah undang omnibus law cipta kerja nilai cacat prosedur substansi bentuk anarkisme putus dpr perintah lahir anarkisme tindak demonstran ttd p n tidak ada asap kalau tidak ada api,0.0,0.0,1.0,0.0,Negativ
kesah uu cipta kerja harga ayam potong aja salah jokowi wkwkwk omnibuslaw,0.0,0.0,1.0,0.0,Negativ
kesah uu omnibus law cipta kerja nilai cacat prosedur substansi bentuk anarkisme hukum putus politik dpr perintah lahir anarkisme tindak sosial demonstran ttd p n tidak ada asap kalau tidak ada api,0.0,0.0,1.0,0.0,Negativ
kesah uu omnibus law cipta kerja nilai cacat prosedur substansi bentuk anarkisme putus dpr perintah lahir anarkisme tindak demonstran ttd p n tidak ada asap kalau tidak ada api,0.0,0.0,1.0,0.0,Negativ
klarifikasi jokowi omnibus law uu cipta kerja youtu be mgffkxeu via,0.0,0.0,1.0,0.0,Negativ
klu anies suruh pa fpi bahas omnibus lawcipta kerja kasih uang capek demo anies baswedan usul ajar demo tugas bahas omnibus law cipta kerja,0.0,0.0,1.0,0.0,Negativ
koment postingan benar isi omnibus law cipta kerja,0.0,0.0,1.0,0.0,Negativ
konsistensi juang mari upaya satu juang satu kerja bank buruh buruh sektor perban ancam uu omnibus law cipta kerja pekerjabankbergerak tolakomnibuslawciptakerja link registrasi susul,0.0,0.0,1.0,0.0,Negativ
kontribusi yg bangsa indonesia demo urus omnibus law demo bbm demo cipta kerja doang ga suara kesah ruu ampas aset koruptor bem ui mahasiswa jadi kayak,0.0,0.0,1.0,0.0,Negativ
kuat omnibus law cipta kerja,0.0,0.0,1.0,0.0,Negativ
laksana aman aksi unjuk rangka aman aksi tolak uu cipta kerja omnibuslaw kab serdang bedagai,0.0,0.0,1.0,0.0,Negativ
laku undang omnibus law cipta kerja ya pkwt terus hak uang kompensasi pkwt-nya,0.195,0.0,0.805,0.4404,Positif
landas hukum uu cipta kerja omnibus law,0.0,0.0,1.0,0.0,Negativ
lanjut aksi tolak uu cipta kerja aliansi bem se-lampung uuciptakerja omnibuslaw mositidakpercaya kantor dprd provinsi lampung instagram com p cgcbrirgapnz,0.0,0.0,1.0,0.0,Negativ
lantang tolak elemen masyarakat sipil omnibus law ruu cipta kerja resmi sah undang rapat paripurna dpr ri senin youtu be pltuybcgie,0.0,0.0,1.0,0.0,Negativ
let s see the bigger picture when omnibus law bill or undang cipta kerja when it s executed then j investor asing nyata resah kesah uu cipta kerja kompas com line today today line me id v article linetoday kompascom,0.0,0.0,1.0,0.0,Negativ
live focus group discussion pusat kaji analisis data tanggal sabtu oktober sd wib tema lintas elemen tolak uu omnibus law cipta kerja,0.0,0.0,1.0,0.0,Negativ
live focus group discussion pusat kaji analisis data tanggal sabtu oktober sd wib tema lintas elemen tolak uu omnibus law cipta kerja bicara kh dr nadjamuddin ramly wakil sekjen,0.0,0.0,1.0,0.0,Negativ
loh tuju omnibus law uu cipta kerja buat izin usaha sederhana regulasi tumpang tindih hilang praktik pungli korupsi disikatspy investor dlm negeri tarik tanam modal indonesia dgn demikianakan buka lap kerja yg lbh luas,0.0,0.0,1.0,0.0,Negativ
longmarch buruh bandung jakarta ayo buruh satu hancur tirani tindas mari hapus uu omnibuslaw cipta lapang kerja vt tiktok com zsrmmeacy k,0.0,0.0,1.0,0.0,Negativ
lu ijazah sma blg benny k harman tolak baca berita fraksi dpr tuju omnimbuslaw kupang jga aksi demo tolak ruu cipta kerja kalo bodok jg tllu pamer kwn katakantidakpadademokrat omnibuslaw kupang,0.0,0.0,1.0,0.0,Negativ
lurus hoax omnibus law ruu cipta kerja sumber,0.0,0.231,0.769,-0.2732,Negativ
